id,y
0,0.012450739
1,0.032610167
2,0.9147588
3,0.42241558
4,0.8417196
5,0.7132881
6,0.84127086
7,0.58895016
8,0.27806637
9,0.085047655
10,0.8941288
11,0.03307622
12,0.5784924
13,0.2807559
14,0.4188729
15,0.71433216
16,0.26645535
17,0.6507455
18,0.025746256
19,0.95904213
20,0.70156187
21,0.87777674
22,0.52600276
23,0.21515903
24,0.6870376
25,0.73235744
26,0.12455427
27,0.9949863
28,0.39001533
29,0.86618423
30,0.72528464
31,0.09634214
32,0.1226354
33,0.04345885
34,0.8567876
35,0.540067
36,0.91935503
37,0.19833024
38,0.104191914
39,0.38189635
40,0.7926671
41,0.3410861
42,0.5051844
43,0.97105455
44,0.1143166
45,0.91646224
46,0.046936017
47,0.1735483
48,0.896526
49,0.9391341
50,0.9896582
51,0.9009451
52,0.042800557
53,0.0084249955
54,0.05788355
55,0.06395873
56,0.48649523
57,0.92379856
58,0.8766972
59,0.9886059
60,0.027588736
61,0.07406705
62,0.86644894
63,0.9567908
64,0.9724257
65,0.03178685
66,0.9723036
67,0.4543309
68,0.75761557
